OPC.Generic_Input.[1].ReadWrite,0
OPC.Generic_Input.[1].DataType,Bool
OPC.Generic_Input.[1].CommProtocol,S7 Plus
OPC.Generic_Input.[1].Unit,N/A
OPC.Generic_Input.[1].Source_Address,I0.0
OPC.Generic_Input.[1].Description,T.E.1 End of Reel
OPC.Generic_Input.[1].Digital_State_Set_Description,N/A
OPC.Generic_Input.[1].Historical_Data_Recovery_Address,N/A
OPC.Generic_Input.[1].Scaling,N/A
OPC.Generic_Input.[1].Stepped,N/A
OPC.Generic_Input.[1].Min_Process_Value,N/A
OPC.Generic_Input.[1].Max_Process_Value,N/A
OPC.Generic_Input.[1].Engineering_Unit,N/A
OPC.Generic_Input.[1].Stopping_Alarm,N/A
OPC.Generic_Input.[1].Batch_Context,N/A
OPC.Generic_Input.[1].Selected,N/A
OPC.Generic_Input.[1].Tag_Type,Bool
OPC.Generic_Input.[1].Classification,N/A
OPC.Generic_Input.[1].Machine_Symbolic_Name,T.E.1 End of Reel
OPC.Generic_Input.[1].AF_Attribute_Name,N/A
OPC.Generic_Input.[1].AF_Asset_Description,T.E.1 End of Reel
OPC.Generic_Input.[1].Description_Details,T.E.1 End of Reel
OPC.Generic_Input.[1].AF_Category,A1 Labeller Inputs
OPC.Generic_Input.[1].Precision,N/A
